CÓDIGO;Semana;Acumulado;PERIODO
DHAC;202336;8;202390
DECC;202321;1;202390
DECC;202322;1;202390
DECC;202323;1;202390
DECC;202324;1;202390
DECC;202325;2;202390
DECC;202326;2;202390
DECC;202327;2;202390
DECC;202328;2;202390
DECC;202329;3;202390
DECC;202330;4;202390
DECC;202331;4;202390
DECC;202332;4;202390
DECC;202333;5;202390
DECC;202334;5;202390
DECC;202335;6;202390
DECC;202336;8;202390
DFUT;202325;2;202390
DFUT;202326;3;202390
DFUT;202327;4;202390
DFUT;202328;5;202390
DFUT;202329;8;202390
DFUT;202330;14;202390
DFUT;202331;15;202390
DFUT;202332;16;202390
DFUT;202333;17;202390
DFUT;202334;18;202390
DFUT;202335;18;202390
DFUT;202336;19;202390
CCOM;202329;1;202390
CCOM;202330;1;202390
CCOM;202331;1;202390
CCOM;202332;1;202390
CCOM;202333;1;202390
CCOM;202334;1;202390
CCOM;202335;1;202390
CCOM;202336;1;202390
CDCE;202313;1;202390
CDCE;202314;1;202390
CDCE;202315;1;202390
CDCE;202316;1;202390
CDCE;202317;1;202390
CDCE;202318;1;202390
CDCE;202319;1;202390
CDCE;202320;1;202390
CDCE;202321;1;202390
CDCE;202322;1;202390
CDCE;202323;1;202390
CDCE;202324;1;202390
CDCE;202325;1;202390
CDCE;202326;1;202390
CDCE;202327;1;202390
CDCE;202328;1;202390
CDCE;202329;1;202390
CDCE;202330;1;202390
CDCE;202331;1;202390
CDCE;202332;1;202390
CDCE;202333;1;202390
CDCE;202334;1;202390
CDCE;202335;1;202390
CDCE;202336;1;202390
CIMO;202323;1;202390
CIMO;202324;1;202390
CIMO;202325;1;202390
CIMO;202326;2;202390
CIMO;202327;2;202390
CIMO;202328;3;202390
CIMO;202329;3;202390
CIMO;202330;3;202390
CIMO;202331;3;202390
CIMO;202332;3;202390
CIMO;202333;3;202390
CIMO;202334;4;202390
CIMO;202335;6;202390
CIMO;202336;6;202390
CSEA;202315;1;202390
CSEA;202316;1;202390
CSEA;202317;1;202390
CSEA;202318;1;202390
CSEA;202319;1;202390
CSEA;202320;1;202390
CSEA;202321;1;202390
CSEA;202322;1;202390
CSEA;202323;1;202390
CSEA;202324;1;202390
CSEA;202325;1;202390
CSEA;202326;1;202390
CSEA;202327;1;202390
CSEA;202328;1;202390
CSEA;202329;1;202390
CSEA;202330;1;202390
CSEA;202331;1;202390
CSEA;202332;1;202390
CSEA;202333;1;202390
CSEA;202334;1;202390
CSEA;202335;1;202390
CSEA;202336;1;202390
CLIE;202329;1;202390
CLIE;202330;7;202390
CLIE;202331;7;202390
CLIE;202332;7;202390
CLIE;202333;7;202390
CLIE;202334;8;202390
CLIE;202335;9;202390
CLIE;202336;10;202390
CPAE;202326;1;202390
CPAE;202327;4;202390
CPAE;202328;5;202390
CPAE;202329;5;202390
CPAE;202330;5;202390
CPAE;202331;5;202390
CPAE;202332;5;202390
CPAE;202333;5;202390
CPAE;202334;5;202390
CPAE;202335;7;202390
CPAE;202336;14;202390
CRCJ;202328;1;202390
CRCJ;202329;1;202390
CRCJ;202330;1;202390
CRCJ;202331;1;202390
CRCJ;202332;1;202390
CRCJ;202333;1;202390
CRCJ;202334;1;202390
CRCJ;202335;1;202390
CRCJ;202336;1;202390
DDEC;202314;1;202390
DDEC;202315;1;202390
DDEC;202316;1;202390
DDEC;202317;1;202390
DDEC;202318;1;202390
DDEC;202319;1;202390
DDEC;202320;1;202390
DDEC;202321;1;202390
DDEC;202322;2;202390
DDEC;202323;2;202390
DDEC;202324;3;202390
DDEC;202325;4;202390
DDEC;202326;17;202390
DDEC;202327;28;202390
DDEC;202328;33;202390
DDEC;202329;38;202390
DDEC;202330;38;202390
DDEC;202331;38;202390
DDEC;202332;38;202390
DDEC;202333;60;202390
DDEC;202334;65;202390
DDEC;202335;69;202390
DDEC;202336;72;202390
DDMA;202321;1;202390
DDMA;202322;1;202390
DDMA;202323;1;202390
DDMA;202324;1;202390
DDMA;202325;2;202390
DDMA;202326;2;202390
DDMA;202327;4;202390
DDMA;202328;5;202390
DDMA;202329;5;202390
DDMA;202330;5;202390
DDMA;202331;5;202390
DDMA;202332;5;202390
DDMA;202333;9;202390
DDMA;202334;11;202390
DDMA;202335;15;202390
DDMA;202336;17;202390
DDUD;202324;1;202390
DDUD;202325;3;202390
DDUD;202326;5;202390
DDUD;202327;7;202390
DDUD;202328;9;202390
DDUD;202329;12;202390
DDUD;202330;12;202390
DDUD;202331;12;202390
DDUD;202332;12;202390
DDUD;202333;27;202390
DDUD;202334;32;202390
DDUD;202335;40;202390
DDUD;202336;41;202390
DFDP;202321;1;202390
DFDP;202322;1;202390
DFDP;202323;1;202390
DFDP;202324;2;202390
DFDP;202325;4;202390
DFDP;202326;6;202390
DFDP;202327;10;202390
DFDP;202328;10;202390
DFDP;202329;10;202390
DFDP;202330;10;202390
DFDP;202331;10;202390
DFDP;202332;10;202390
DFDP;202333;11;202390
DFDP;202334;11;202390
DFDP;202335;13;202390
DFDP;202336;15;202390
DITD;202322;1;202390
DITD;202323;1;202390
DITD;202324;1;202390
DITD;202325;1;202390
DITD;202326;1;202390
DITD;202327;2;202390
DITD;202328;2;202390
DITD;202329;3;202390
DITD;202330;3;202390
DITD;202331;3;202390
DITD;202332;3;202390
DITD;202333;5;202390
DITD;202334;5;202390
DITD;202335;7;202390
DITD;202336;7;202390
DDFU;202327;1;202390
DDFU;202328;1;202390
DDFU;202329;1;202390
DDFU;202330;1;202390
DDFU;202331;2;202390
DDFU;202332;2;202390
DDFU;202333;2;202390
DDFU;202334;2;202390
DDFU;202335;2;202390
DDFU;202336;2;202390
DIDS;202329;1;202390
DIDS;202330;1;202390
DIDS;202331;1;202390
DIDS;202332;1;202390
DIDS;202333;1;202390
DIDS;202334;1;202390
DIDS;202335;1;202390
DIDS;202336;1;202390
DDCO;202335;2;202390
DDCO;202336;2;202390
DDIN;202319;1;202390
DDIN;202320;2;202390
DDIN;202321;2;202390
DDIN;202322;3;202390
DDIN;202323;3;202390
DDIN;202324;3;202390
DDIN;202325;5;202390
DDIN;202326;5;202390
DDIN;202327;5;202390
DDIN;202328;5;202390
DDIN;202329;5;202390
DDIN;202330;5;202390
DDIN;202331;7;202390
DDIN;202332;7;202390
DDIN;202333;7;202390
DDIN;202334;7;202390
DDIN;202335;7;202390
DDIN;202336;8;202390
DRNA;202327;1;202390
DRNA;202328;1;202390
DRNA;202329;1;202390
DRNA;202330;1;202390
DRNA;202331;1;202390
DRNA;202332;1;202390
DRNA;202333;1;202390
DRNA;202334;1;202390
DRNA;202335;1;202390
DRNA;202336;2;202390
CACO;202328;2;202390
CACO;202329;2;202390
CACO;202330;2;202390
CACO;202331;2;202390
CACO;202332;2;202390
CACO;202333;3;202390
CACO;202334;3;202390
CACO;202335;3;202390
CACO;202336;3;202390
CDCA;202327;1;202390
CDCA;202328;1;202390
CDCA;202329;1;202390
CDCA;202330;1;202390
CDCA;202331;1;202390
CDCA;202332;1;202390
CDCA;202333;1;202390
CDCA;202334;1;202390
CDCA;202335;1;202390
CDCA;202336;2;202390
CDFO;202323;1;202390
CDFO;202324;1;202390
CDFO;202325;1;202390
