CÓDIGO;Acumulado;Semana;PERIODO
DPSU;2;9;202290
DSMP;1;9;202290
EMCT;1;9;202290
EOCM;3;9;202290
EOEN;1;9;202290
EOEN;8;9;202290
EOIM;1;9;202290
EOIM;3;9;202290
EOIO;1;9;202290
EOIO;9;9;202290
EOOP;8;9;202290
EOOR;6;9;202290
EOPE;7;9;202290
EORO;2;9;202290
EORO;9;9;202290
EORO;1;9;202290
EOTT;1;9;202290
EOTT;2;9;202290
MDAD;1;9;202290
MDAD;1;9;202290
MDDE;1;9;202290
MDPE;1;9;202290
MDRC;1;9;202290
MDTR;2;9;202290
MEDU;1;9;202290
MEMG;5;9;202290
MHGP;1;9;202290
MNPP;1;9;202290
MPSP;1;9;202290
MPSP;3;9;202290
MTEM;3;9;202290
PEOG;2;9;202290
PEOG;1;9;202290
PEPA;1;9;202290
PEPA;2;9;202290
PMEM;3;9;202290
DAAG;3;10;202290
DAAG;3;10;202290
DCAA;1;10;202290
DCPA;27;10;202290
DCPA;1;10;202290
DCPA;3;10;202290
DCPA;1;10;202290
DDCO;3;10;202290
DDEI;1;10;202290
DDEP;1;10;202290
DDIN;1;10;202290
DDLE;1;10;202290
DERA;2;10;202290
DERA;13;10;202290
DERO;12;10;202290
DERO;3;10;202290
DERS;8;10;202290
DERS;1;10;202290
DEST;2;10;202290
DESU;1;10;202290
DEVS;1;10;202290
DGCE;1;10;202290
DGGE;1;10;202290
DIND;1;10;202290
DIOD;1;10;202290
DIQP;1;10;202290
DIQP;13;10;202290
DIQP;2;10;202290
DMOR;1;10;202290
DNEO;1;10;202290
DOCM;2;10;202290
DODP;5;10;202290
DOPI;3;10;202290
DOPI;19;10;202290
DORE;2;10;202290
DPAD;3;10;202290
DPEN;1;10;202290
DPEN;9;10;202290
DPPC;2;10;202290
DPSU;2;10;202290
DSMP;1;10;202290
EMCT;1;10;202290
EOCM;3;10;202290
EOEN;1;10;202290
EOEN;10;10;202290
EOIM;1;10;202290
EOIM;3;10;202290
EOIO;1;10;202290
EOIO;9;10;202290
EOOP;8;10;202290
EOOR;6;10;202290
EOPE;8;10;202290
EORO;2;10;202290
EORO;9;10;202290
EORO;1;10;202290
EOTT;2;10;202290
EOTT;3;10;202290
MAGS;1;10;202290
MAGS;1;10;202290
MDAD;1;10;202290
MDAD;1;10;202290
MDAD;3;10;202290
MDDE;1;10;202290
