CÓDIGO;Semana
DIOD;202339
DIQP;202339
DISI;202339
DKAD;202339
DLDP;202339
DLEE;202339
DMCE;202339
DMEP;202339
DMTT;202339
DNEO;202339
DOIA;202339
DOPI;202339
DORE;202339
DPAD;202339
DPEN;202339
DPPC;202339
DPSM;202339
DRET;202339
DRGP;202339
DRNA;202339
DSCE;202339
DSMP;202339
DTCG;202339
ECAN;202339
ECNE;202339
EMAN;202339
EMCG;202339
EMCT;202339
EMFL;202339
EMMI;202339
EMNE;202339
EMOT;202339
EMPE;202339
EMPS;202339
EMRA;202339
EMUG;202339
MAEC;202339
MAFM;202339
MDDE;202339
MDFI;202339
MDGE;202339
MDPE;202339
MDRC;202339
MEMG;202339
MFIA;202339
MTEM;202339
PEIN;202339
PEOG;202339
PEPA;202339
PMFA;202339
CACO;202340
CAFC;202340
CCGL;202340
CCOM;202340
CDCE;202340
CDFO;202340
CDPC;202340
CGCD;202340
CGIE;202340
CGMF;202340
CHDS;202340
CIAA;202340
CICS;202340
CLEL;202340
CLIE;202340
CMTE;202340
CPDN;202340
CPIS;202340
CPOC;202340
CRCJ;202340
CTPT;202340
CTSP;202340
CTTM;202340
CTVV;202340
CURV;202340
DAPC;202340
DASD;202340
DCAA;202340
DCAL;202340
DCEC;202340
DCGE;202340
DCKR;202340
DCPA;202340
DDCO;202340
DDDD;202340
DDEP;202340
DDFA;202340
DDFU;202340
DDIN;202340
DDLE;202340
DDUC;202340
DECC;202340
DEGP;202340
DEMA;202340
DEON;202340
DERA;202340
DEST;202340
DESU;202340
DETR;202340
DFEM;202340
DFKM;202340
DFNF;202340
DFUT;202340
DGCE;202340
DGCU;202340
DGGE;202340
DGPI;202340
DGTO;202340
DIDS;202340
DIGP;202340
DIND;202340
DIOD;202340
DIQP;202340
DISI;202340
DKAD;202340
DLDP;202340
DLEE;202340
DMCE;202340
DMEP;202340
DMTT;202340
DNEO;202340
DOIA;202340
DORE;202340
DPEN;202340
DPPC;202340
DPSM;202340
DRGP;202340
DRNA;202340
DSMP;202340
ECAN;202340
ECNE;202340
EMAN;202340
EMCG;202340
EMCT;202340
EMFL;202340
EMMI;202340
EMNE;202340
EMOT;202340
EMPE;202340
EMPS;202340
EMRA;202340
EMUG;202340
MAEC;202340
MAFM;202340
MDDE;202340
MDFI;202340
MDPE;202340
MDRC;202340
MEMG;202340
MFIA;202340
PEIN;202340
PEOG;202340
PEPA;202340
PMFA;202340
CACO;202341
CAFC;202341
CCGL;202341
CCOM;202341
CDCE;202341
CDFO;202341
CDPC;202341
CGCD;202341
CGIE;202341
CGMF;202341
CHDS;202341
CIAA;202341
CICS;202341
CLEL;202341
CMTE;202341
CPDN;202341
CPIS;202341
CPOC;202341
CRCJ;202341
CTPT;202341
CTSP;202341
CTTM;202341
CTVV;202341
CURV;202341
DASD;202341
DCAA;202341
DCAL;202341
DCEC;202341
DCGE;202341
DCKR;202341
DCPA;202341
DDCO;202341
DDDD;202341
DDEP;202341
DDFA;202341
DDFU;202341
DDIN;202341
DDLE;202341
DDUC;202341
DECC;202341
DEGP;202341
DEMA;202341
DEON;202341
DEST;202341
DESU;202341
DETR;202341
DFEM;202341
DFKM;202341
DFNF;202341
DFUT;202341
DGCE;202341
DGCU;202341
DGGE;202341
DGTO;202341
DIDS;202341
DIGP;202341
DIND;202341
DIOD;202341
DIQP;202341
DISI;202341
DKAD;202341
DLDP;202341
DMEP;202341
DNEO;202341
DORE;202341
DPPC;202341
DPSM;202341
DRGP;202341
DRNA;202341
DSMP;202341
ECAN;202341
ECNE;202341
EMAN;202341
EMCG;202341
EMCT;202341
EMFL;202341
EMMI;202341
EMNE;202341
EMOT;202341
EMPE;202341
EMPS;202341
EMRA;202341
EMUG;202341
MAEC;202341
MAFM;202341
MDDE;202341
MDFI;202341
MDRC;202341
MFIA;202341
PEIN;202341
PEPA;202341
PMFA;202341
CACO;202342
CAFC;202342
CCGL;202342
CCOM;202342
CDCE;202342
CDFO;202342
CDPC;202342
CGCD;202342
CGIE;202342
CGMF;202342
CHDS;202342
CICS;202342
CLEL;202342
CMTE;202342
CPDN;202342
CPIS;202342
CPOC;202342
CRCJ;202342
CTSP;202342
CTVV;202342
CURV;202342
DASD;202342
DCAL;202342
DCEC;202342
DCGE;202342
DCKR;202342
DDCO;202342
DDDD;202342
DDFA;202342
DDFU;202342
DDIN;202342
DDLE;202342
DDUC;202342
DECC;202342
DEGP;202342
DEMA;202342
DEON;202342
DEST;202342
DESU;202342
DETR;202342
DFEM;202342
DFKM;202342
DFNF;202342
DFUT;202342
DGCE;202342
DGCU;202342
DGTO;202342
DIDS;202342
DIGP;202342
DIQP;202342
DISI;202342
DLDP;202342
DMEP;202342
DORE;202342
DPPC;202342
DPSM;202342
DRGP;202342
DRNA;202342
ECAN;202342
ECNE;202342
EMAN;202342
EMCG;202342
EMFL;202342
EMMI;202342
EMNE;202342
EMOT;202342
EMPE;202342
